ID,Full-time enrollment,Graduate enrollment,Part-time enrollment,Total enrollment,Undergraduate enrollment
C0301,3588,2490,2730,6318,3828
C0302,41118,12247,3824,44942,32695
C0303,2001,0,8,2009,2009
C0304,981,18,47,1028,1010
C0305,6539,4924,1311,7850,2926
C0306,17864,2523,2408,20272,17749
C0307,856,104,314,1170,1066
C0308,1400,0,24,1424,1424
C0309,1582,28,36,1618,1590
C0310,4123,1912,2402,6525,4613
C0311,798,0,442,1240,1240
C0312,13463,5789,2494,15957,10168
C0313,517,0,54,571,571
C0314,1935,669,1092,3027,2358
C0315,2126,108,135,2261,2153
C0316,1244,0,11,1255,1255
C0317,2209,3387,2605,4814,1427
C0318,2682,251,366,3048,2797
C0319,1970,932,1166,3136,2204
C0320,16053,5324,5085,21138,15814
C0321,17190,12309,4402,21592,9283
C0322,5415,1871,5406,10821,8950
C0323,3185,1244,1394,4579,3335
C0324,1162,259,293,1455,1196
C0325,2672,452,561,3233,2781
C0326,876,258,354,1230,972
C0327,3832,2472,2298,6130,3658
C0328,2457,1401,1013,3470,2069
C0329,1589,1984,2175,3764,1780
C0330,2635,1332,1617,4252,2920
C0331,2587,2098,2550,5137,3039
C0332,79,0,18,97,97
C0333,14478,4658,3486,17964,13306
C0334,10759,2621,3091,13850,11229
C0335,1125,47,255,1380,1333
C0336,1234,1219,891,2125,906
C0337,9605,1834,2102,11707,9873
C0338,2665,549,328,2993,2444
C0339,1797,426,645,2442,2016
C0340,16588,4203,3915,20503,16300
C0341,1333,149,471,1804,1655
C0342,4348,776,479,4827,4051
C0343,622,152,518,1140,988
C0344,2280,0,24,2304,2304
C0345,1099,95,60,1159,1064
C0346,2433,153,197,2630,2477
C0347,952,0,62,1014,1014
C0348,760,60,128,888,828
C0349,1416,289,488,1904,1615
C0350,1158,0,5,1163,1163
C0351,496,0,28,524,524
C0352,990,71,134,1124,1053
C0353,7537,531,5922,13459,12928
C0354,21097,8079,9391,30488,22409
C0355,3609,1290,1843,5452,4162
C0356,7513,989,2389,9902,8913
C0357,10068,2180,2380,12448,10268
C0358,2063,197,2115,4178,3981
C0359,4083,561,3990,8073,7512
C0360,37467,9955,9350,46817,36862
C0361,3358,483,3029,6387,5904
