ID,ACT Composite score (25th percentile) ,ACT Composite score (75th percentile),SAT Critical Reading score (25th percentile),SAT Critical Reading score (75th percentile),SAT Math score (25th percentile),SAT Math score (75th percentile),SAT Writing score (25th percentile) ,SAT Writing score (75th percentile)
C0401,21,27,423,605,470,580,420,560
C0402,20,25,,,,,,
C0403,21,27,,,,,,
C0404,19,24,,,,,,
C0405,21,26,380,540,440,590,380,520
C0406,17,22,380,500,380,550,,
C0407,21,26,440,545,490,600,410,555
C0408,22,28,515,655,485,630,,
C0409,18,23,390,510,430,510,380,470
C0410,19,26,390,520,420,580,380,510
C0411,18,24,390,490,440,530,,
C0412,,,,,,,,
C0413,19,25,438,528,475,545,,
C0414,18,24,,,,,,
C0415,18,24,350,490,420,548,,
C0416,22,28,,,,,,
C0417,20,27,460,610,420,530,430,560
C0418,,,,,,,,
C0419,20,24,420,510,470,520,,
C0420,19,24,475,540,500,560,,
C0421,19,21,420,540,420,510,,
C0422,19,25,390,530,400,550,350,470
C0423,,,,,,,,
C0424,19,24,,,,,,
C0425,19,24,410,500,440,520,,
C0426,20,25,398,548,458,548,380,485
C0427,19,25,460,540,410,500,490,540
C0428,18,27,400,510,420,530,,
C0429,,,,,,,,
C0430,21,26,460,590,477,622,,
C0431,18,24,470,500,450,540,410,560
C0432,21,27,500,620,508,620,,
C0433,22,27,490,590,490,590,,
C0434,22,26,510,630,513,610,483,610
C0435,19,24,,,460,550,,
C0436,18,24,420,505,400,525,400,520
C0437,26,31,550,670,560,680,550,670
C0438,19,25,420,520,440,530,,
C0439,19,24,440,560,450,550,430,530
C0440,21,26,410,610,460,560,,
C0441,16,20,350,450,323,448,343,420
C0442,19,25,440,540,410,555,450,660
C0443,22,28,490,610,500,630,,
C0444,18,24,360,510,400,550,340,480
C0445,,,,,,,,
C0446,22,28,470,580,510,610,470,580
C0447,15,24,350,500,370,500,390,480
C0448,19,25,490,610,430,570,470,590
C0449,19,25,420,545,455,570,420,540
C0450,19,25,430,520,440,540,,
C0451,19,25,440,560,430,550,,
C0452,16,22,390,500,380,510,,
C0453,,,,,,,,
C0454,18,22,440,520,440,525,,
C0455,20,25,430,520,430,560,,
C0456,24,30,520,660,510,630,,
C0457,19,24,460,563,417,513,,
C0458,18,25,410,580,420,570,,
C0459,22,28,480,585,495,600,,
C0460,17,20,400,470,370,480,,
C0461,16,20,380,480,360,440,,
C0462,18,22,,,,,,
C0463,23,28,500,620,520,630,,
C0464,20,24,440,510,520,540,,
C0465,18,23,410,460,430,500,380,480
C0466,21,26,450,590,490,600,,
C0467,22,28,520,640,510,610,,
C0468,20,24,450,550,490,560,,
C0469,21,25,470,590,490,620,,
C0470,20,24,437,537,482,607,392,520
C0471,20,25,,,480,640,460,580
C0472,19,24,430,518,443,550,,
C0473,,,,,,,,
C0474,20,24,,,,,,
C0475,17,20,,,400,520,,
C0476,15,18,420,650,420,640,380,610
C0477,21,25,,,490,600,450,590
C0478,29,32,620,700,620,700,630,720
C0479,20,26,440,560,420,550,420,530
C0480,,,,,,,,
C0481,,,,,,,,
C0482,30,33,680,760,680,750,690,770
C0483,28,32,620,710,640,720,620,720
