ID,Control,Highest degree offered,Total enrollment,4-year graduation rate (%),5-year graduation rate (%),6-year graduation rate (%),ACT Composite score (25th percentile) ,ACT Composite score (75th percentile),SAT Critical Reading score (25th percentile),SAT Critical Reading score (75th percentile),SAT Math score (25th percentile),SAT Math score (75th percentile),SAT Writing score (25th percentile) ,SAT Writing score (75th percentile),Endowment assets ($),Receiving financial aid (%),Admission rate (%)
C0633,Public,Doctoral degree,,21,43,49,20,24,,,,,,,2555,85,66
C0634,Public,Doctoral degree,,10,21,34,,,,,,,,,390,84,100
C0635,Public,Doctoral degree,,54,72,75,26,30,550,690,620,740,570,670,48052,77,44
C0636,Public,Bachelor's degree,,34,41,44,19,24,420,500,420,530,380,510,7068,92,69
C0637,Public,Doctoral degree,,30,54,59,22,26,460,590,490,620,410,570,11757,83,78
C0638,Public,Bachelor's degree,,50,61,63,23,28,530,690,530,640,490,640,6067,93,58
C0639,Public,Doctoral degree,,22,40,46,20,25,450,560,480,590,,,1655,86,89
C0640,Private,Bachelor's degree,,17,40,44,19,26,460,550,440,560,,,2207,100,95
C0641,Private,Master's degree,,51,65,67,22,27,498,640,468,673,,,5534,99,69
C0642,Private,Bachelor's degree,,75,81,82,23,28,470,570,470,608,473,595,24444,100,76
C0643,Public,Doctoral degree,,19,41,47,19,24,435,548,440,590,,,1366,86,87
C0644,Private,Master's degree,,71,78,79,23,28,475,610,480,625,460,575,79129,100,75
C0645,Private,Doctoral degree,,43,54,55,20,26,465,550,455,590,,,10096,99,75
C0646,Private,Bachelor's degree,,83,87,87,26,31,590,710,590,710,580,690,120923,93,59
C0647,Private,Master's degree,,36,50,51,18,24,370,435,395,455,,,6510,96,55
C0648,Private,Doctoral degree,,59,68,68,21,26,420,530,430,500,380,510,13459,100,73
C0649,Private,Doctoral degree,,63,74,75,23,28,520,640,520,640,,,37771,97,86
C0650,Private,Doctoral degree,,38,58,61,20,25,480,620,490,550,,,16608,100,61
C0651,Public,Master's degree,,22,40,43,19,24,,,,,,,776,95,65
C0652,Public,Doctoral degree,,30,51,56,21,25,,,,,,,2081,88,61
C0653,Public,Master's degree,,18,28,34,16,19,400,460,410,480,,,3387,77,83
C0654,Private,Master's degree,,25,36,37,19,25,452,620,450,560,,,1616,100,48
C0655,Private,Master's degree,,37,51,51,18,25,410,540,430,470,390,590,24141,97,56
C0656,Public,Doctoral degree,,16,28,35,18,22,410,475,455,570,,,6083,94,89
C0657,Public,Doctoral degree,,17,31,39,17,21,,,,,,,2037,93,65
C0658,Private,Master's degree,,59,63,63,23,28,498,630,520,620,,,112710,100,47
C0659,Public,Doctoral degree,,36,54,58,21,27,490,590,490,600,,,27882,83,59
C0660,Public,Doctoral degree,,22,35,39,18,24,440,480,550,640,,,1444,99,43
C0661,Public,Master's degree,,11,20,26,15,19,,,,,,,838,96,23
C0662,Private,Doctoral degree,,35,50,53,21,27,458,593,470,583,,,14482,99,67
C0663,Public,Doctoral degree,,31,55,61,20,28,480,620,490,630,,,20934,93,65
C0664,Private,Bachelor's degree,,12,19,19,13,14,310,360,320,440,340,360,26319,99,14
C0665,Public,Doctoral degree,,21,39,45,20,27,440,550,470,560,,,5069,96,66
C0666,Private,Bachelor's degree,,27,47,50,15,21,365,537,357,447,,,10712,94,36
C0667,Private,Doctoral degree,,46,60,62,20,28,,,,,,,2958,92,49
C0668,Private,Master's degree,,26,47,49,20,24,400,580,450,560,,,5216,100,61
C0669,Private,Bachelor's degree,,26,40,44,19,24,410,480,440,540,370,470,23821,100,65
C0670,Public,Master's degree,,30,50,54,18,24,,,,,,,3423,94,81
C0671,Private,Master's degree,,26,35,40,,,,,,,,,7758,84,
C0672,Private,Master's degree,,38,45,45,18,23,450,540,450,540,,,28545,100,59
C0673,Private,Master's degree,,32,51,54,22,28,525,650,515,615,465,605,17838,84,81
C0674,Private,Master's degree,,35,51,51,19,26,440,600,460,570,430,590,4603,98,64
C0675,Private,Master's degree,,3,19,41,21,25,490,600,440,610,440,590,12189,92,65
C0676,Private,Master's degree,,46,59,61,19,25,420,620,430,520,,,5977,93,68
C0677,Public,Bachelor's degree,,2,6,10,,,,,,,,,969,98,
C0678,Public,Master's degree,,6,17,22,,,,,,,,,2946,94,
C0679,Private,Doctoral degree,,25,39,45,20,25,430,550,470,580,410,520,10988,95,66
C0680,Private,Doctoral degree,,51,65,67,23,27,470,610,510,610,,,11048,99,76
C0681,Private,Doctoral degree,,27,41,43,19,24,410,500,400,540,,,1144,100,61
C0682,Public,Master's degree,,15,31,36,18,24,,,,,,,7231,93,97
C0683,Private,Master's degree,,15,22,25,18,21,390,440,400,460,400,460,3316,100,22
C0684,Public,Master's degree,,13,27,33,,,,,,,,,5765,97,
C0685,Public,Doctoral degree,,47,67,70,23,28,520,640,520,650,,,22448,84,79
C0686,Public,Doctoral degree,,21,42,51,21,27,,,490,670,510,660,16139,92,33
C0687,Public,Doctoral degree,,25,56,63,25,31,540,670,590,690,,,23753,97,82
C0688,Public,Doctoral degree,,20,39,46,21,26,,,510,590,,,5875,95,74
C0689,Public,Master's degree,,54,70,72,25,30,540,680,540,650,,,5971,99,72
C0690,Public,Master's degree,,27,45,48,20,25,450,570,480,600,,,4359,95,72
C0691,Private,Bachelor's degree,,50,64,65,20,25,510,560,450,548,495,548,248374,100,13
C0692,Private,Master's degree,,27,32,43,,,,,,,,,6392,91,96
C0693,Private,Doctoral degree,,60,68,69,23,28,500,640,510,649,,,15452,100,75
C0694,Private,Doctoral degree,,61,69,70,25,30,530,640,550,680,,,71318,93,64
C0695,Private,Doctoral degree,,37,45,48,20,26,400,550,430,560,,,7356,97,90
C0696,Private,Master's degree,,25,58,59,19,26,440,630,410,580,440,590,46968,100,68
C0697,Public,Master's degree,,27,44,49,20,25,435,555,460,595,,,6578,93,85
C0698,Public,Doctoral degree,,30,50,53,21,26,470,600,480,620,,,4100,89,85
C0699,Private,Doctoral degree,,88,93,94,32,34,700,760,720,790,700,770,417948,55,16
C0700,Private,Doctoral degree,,46,57,59,21,27,500,650,490,600,470,590,8984,97,58
C0701,Private,Bachelor's degree,,52,66,69,21,27,390,550,470,610,420,530,43586,100,72
C0702,Private,Bachelor's degree,,50,58,59,22,28,498,670,510,645,,,59943,100,58
C0703,Private,Doctoral degree,,45,56,56,19,26,472,590,460,547,,,11097,100,75
C0704,Private,Bachelor's degree,,54,67,67,22,26,490,620,510,610,490,590,26941,100,53
C0705,Public,Master's degree,,12,21,27,,,,,,,,,4257,90,
C0706,Private,Master's degree,,17,28,29,,,,,,,,,9626,97,73
C0707,Public,Master's degree,,20,42,48,21,27,500,620,550,610,450,580,12290,89,89
C0708,Public,Doctoral degree,,20,41,49,21,27,500,630,510,630,490,600,8171,87,84
C0709,Public,Doctoral degree,,24,42,48,21,26,490,620,480,590,470,590,10021,89,94
C0710,Public,Master's degree,,15,24,29,17,22,385,490,385,505,370,485,3270,88,100
C0711,Private,Master's degree,,19,38,40,19,25,450,560,450,570,430,555,20707,100,67
C0712,Public,Bachelor's degree,,27,41,45,,,,,,,,,2635,87,
C0713,Private,Doctoral degree,,23,35,39,,,,,,,,,6889,100,
C0714,Public,Master's degree,,17,31,33,,,,,,,,,7436,87,
C0715,Private,Master's degree,,42,63,64,21,27,430,570,460,610,,,22578,100,72
C0716,Private,Doctoral degree,,67,76,76,24,30,520,640,540,660,500,620,41179,100,77
C0717,Private,Bachelor's degree,,51,60,60,21,26,430,515,450,535,425,490,91376,100,72
C0718,Private,Master's degree,,23,30,48,19,24,400,465,423,528,410,498,4927,100,58
C0719,Private,Master's degree,,43,56,58,21,26,450,540,460,530,,,66487,100,74
C0720,Public,Master's degree,,21,44,53,20,25,420,520,440,550,,,11,87,85
C0721,Private,Master's degree,,41,49,49,18,23,,,,,,,7362,100,68
C0722,Public,Doctoral degree,,14,35,42,20,26,,,,,,,377,88,71
C0723,Private,Master's degree,,55,67,68,22,26,470,610,520,600,,,24545,100,77
C0724,Public,Doctoral degree,,32,61,67,22,28,490,660,520,670,,,8271,87,64
C0725,Public,Master's degree,,19,30,40,,,,,,,,,4472,92,
C0726,Private,Doctoral degree,,27,38,42,20,26,,,,,,,9994,100,57
C0727,Private,Master's degree,,25,35,38,19,26,,,440,570,440,570,18228,100,52
C0728,Public,Master's degree,,25,41,46,,,,,,,,,4753,92,
C0729,Private,Master's degree,,18,31,36,17,22,370,510,380,500,,,23403,91,49
C0730,Public,Doctoral degree,,15,34,43,19,24,440,550,450,560,420,530,7827,92,85
C0731,Public,Doctoral degree,,16,41,51,21,26,480,590,480,600,460,560,14224,94,84
C0732,Public,Bachelor's degree,,27,44,52,,,,,,,,,126,59,
C0733,Private,Master's degree,,37,49,55,,,,,,,,,5444,93,
C0734,Private,Bachelor's degree,,48,52,53,,,,,,,,,23226,99,83
C0735,Private,Doctoral degree,,87,93,95,30,34,670,780,680,780,680,790,581104,61,10
C0736,Private,Doctoral degree,,39,44,44,16,21,440,530,440,550,420,520,2399,100,85
C0737,Private,Doctoral degree,,34,38,40,,,,,,,,,5433,95,90
C0738,Private,Doctoral degree,,47,54,55,,,430,520,440,540,430,530,1025,94,79
C0739,Public,Doctoral degree,,64,78,80,,,490,590,510,610,,,16309,84,78
C0740,Public,Master's degree,,52,62,63,,,430,540,440,540,440,540,4033,96,82
C0741,Public,Bachelor's degree,,30,56,67,,,450,580,450,560,430,560,1799,88,73
C0742,Public,Doctoral degree,,41,54,56,18,23,430,530,430,540,420,520,2123,89,77
C0743,Private,Doctoral degree,,43,55,59,17,21,430,500,430,510,430,510,17682,100,89
C0744,Private,Bachelor's degree,,71,74,74,23,27,540,610,520,620,520,620,51629,98,74
C0745,Public,Master's degree,,9,9,9,,,,,,,,,1215,70,
C0746,Private,Bachelor's degree,,46,46,46,,,,,,,,,396,100,
C0747,Private,Master's degree,,14,31,36,,,370,440,390,470,,,5474,96,55
C0748,Private,Doctoral degree,,35,53,53,16,25,410,520,420,540,,,3643,98,64
C0749,Private,Master's degree,,56,57,57,18,23,410,540,410,550,400,540,,100,91
C0750,Private,Doctoral degree,,65,68,69,22,27,490,610,500,610,500,610,78215,97,77
C0751,Private,Doctoral degree,,32,44,47,,,440,530,450,550,430,540,4502,95,73
C0752,Private,Doctoral degree,,24,43,46,15,23,390,480,380,500,380,480,2755,100,88
C0753,Private,Doctoral degree,,40,52,54,,,450,560,460,570,460,560,7062,99,78
C0754,Private,Master's degree,,25,47,51,,,390,500,400,510,380,500,25173,99,78
C0755,Public,Doctoral degree,,46,65,70,,,490,600,510,640,480,580,10331,83,59
C0756,Public,Doctoral degree,,5,19,32,,,400,493,420,520,,,973,90,41
C0757,Public,Doctoral degree,,19,39,46,,,400,490,410,510,,,1059,78,80
C0758,Private,Doctoral degree,,42,59,61,22,25,480,560,490,590,480,570,11156,100,78
C0759,Public,Doctoral degree,,34,58,63,,,430,520,450,540,430,530,2233,77,65
C0760,Public,Doctoral degree,,23,46,58,22,29,480,590,550,660,470,590,7963,87,65
C0761,Private,Doctoral degree,,88,95,97,31,35,700,800,710,800,710,790,2320421,60,7
C0762,Public,Master's degree,,59,71,73,20,26,490,590,510,610,480,590,2215,78,55
C0763,Private,Master's degree,,55,64,66,19,25,460,570,470,580,460,570,11560,98,72
C0764,Public,Doctoral degree,,27,48,55,,,450,560,480,580,460,560,12564,85,59
C0765,Public,Doctoral degree,,57,76,79,,,520,640,570,690,540,650,12376,76,60
C0766,Public,Doctoral degree,,32,60,67,,,460,550,500,608,480,560,13352,80,54
C0767,Private,Doctoral degree,,34,50,53,16,21,410,490,420,510,400,490,10939,100,54
C0768,Private,Doctoral degree,,50,62,64,22,27,500,600,520,620,500,600,27638,98,79
C0769,Private,Doctoral degree,,41,53,56,,,380,480,370,480,390,490,17060,99,48
C0770,Private,Doctoral degree,,45,77,79,27,32,570,670,640,720,,,37693,98,38
C0771,Public,Doctoral degree,,42,61,65,20,24,480,570,500,600,480,570,2730,87,62
C0772,Public,Master's degree,,,,,,,,,,,,,793,,
C0773,Public,Master's degree,,72,82,84,,,550,660,580,680,560,670,3480,83,43
C0774,Public,Doctoral degree,,16,42,50,,,450,540,470,560,,,690,87,68
C0775,Public,Master's degree,,12,25,29,17,22,410,540,410,540,,,4320,99,63
C0776,Public,Master's degree,,9,14,18,,,,,,,,,962,95,
C0777,Public,Doctoral degree,,19,38,44,23,29,550,670,570,680,,,16052,96,41
C0778,Public,Doctoral degree,,15,39,48,19,25,470,610,470,600,,,15249,98,65
C0779,Public,Doctoral degree,,16,37,43,18,24,410,540,420,540,400,520,6784,97,85
C0780,Public,Bachelor's degree,,0,0,0,,,,,,,,,2436,91,
C0781,Private,Master's degree,,6,9,14,,,,,,,,,9412,100,
C0782,Public,Master's degree,,12,15,17,,,,,,,,,5247,97,
C0783,Private,Master's degree,,48,56,56,,,413,519,472,574,,,1722,94,77
C0784,Private,Doctoral degree,,53,61,63,19,24,500,600,520,620,510,610,20248,96,68
C0785,Private,Doctoral degree,,45,61,62,22,27,490,590,510,610,,,38886,100,70
C0786,Private,Doctoral degree,,60,72,74,,,,,,,,,51449,75,38
C0787,Private,Bachelor's degree,,82,88,90,28,32,620,730,620,710,650,740,99262,49,21
C0788,Private,Master's degree,,29,34,34,,,,,,,,,787,96,
C0789,Private,Master's degree,,58,67,67,22,27,480,590,500,610,,,21589,99,73
C0790,Private,Bachelor's degree,,53,58,59,,,,,,,,,26373,100,78
C0791,Private,Doctoral degree,,61,72,73,24,28,520,620,570,665,495,600,47891,100,64
C0792,Private,Master's degree,,87,91,91,30,32,620,720,650,740,,,264911,41,26
C0793,Private,Master's degree,,18,19,19,,,,,,,,,415,95,55
C0794,Private,Doctoral degree,,86,92,93,31,34,690,780,700,790,690,780,316753,57,7
C0795,Private,Master's degree,,28,38,39,16,20,420,500,415,505,415,480,10341,94,67
C0796,Private,Master's degree,,68,82,82,29,33,610,710,610,780,610,730,704474,100,8
C0797,Private,Doctoral degree,,87,92,93,30,34,640,740,680,780,650,750,193396,64,16
C0798,Public,Master's degree,,39,60,67,,,530,630,600,690,,,9000,70,25
C0799,Public,Master's degree,,24,44,51,,,480,580,520,620,,,5346,70,32
C0800,Public,Master's degree,,27,46,51,,,440,530,470,560,,,433,71,100
C0801,Public,Doctoral degree,,9,32,42,,,460,590,530,640,,,17183,79,34
C0802,Public,Doctoral degree,,,,,,,,,,,,,15356,,
C0803,Public,Doctoral degree,,22,42,50,,,520,620,540,640,,,4005,69,30
C0804,Public,Master's degree,,25,39,43,,,420,510,440,530,,,483,77,34
C0805,Public,Master's degree,,15,30,37,,,460,530,480,570,,,821,86,23
C0806,Public,Bachelor's degree,,5,12,15,,,360,450,390,475,,,81,91,91
C0807,Public,Bachelor's degree,,3,20,25,,,390,490,453,540,,,1018,86,77
C0808,Public,Master's degree,,25,47,56,,,480,570,540,610,,,2768,61,37
C0809,Public,Master's degree,,5,20,26,,,400,470,430,510,,,110,81,35
C0810,Private,Doctoral degree,,19,36,41,20,25,480,580,470,560,450,540,12120,100,79
C0811,Private,Doctoral degree,,27,46,49,,,,,,,,,3367,100,49
C0812,Private,Doctoral degree,,21,34,36,18,23,410,490,400,480,390,480,657,99,72
C0813,Private,Doctoral degree,,18,30,34,,,,,,,,,827,93,78
C0814,Private,Master's degree,,60,63,63,20,27,470,570,480,580,,,25291,99,80
C0815,Public,Master's degree,,,,,,,,,,,,,3499,69,45
C0816,Private,Doctoral degree,,76,80,81,26,30,570,670,590,680,580,680,39837,92,47
C0817,Private,Bachelor's degree,,90,92,93,29,33,640,730,660,740,650,730,417158,58,27
C0818,Private,Bachelor's degree,,54,57,57,23,27,500,620,510,610,480,600,40691,100,84
C0819,Private,Master's degree,,31,37,39,,,,,,,,,5887,98,81
C0820,Private,Master's degree,,74,79,79,,,,,,,,,73420,81,49
C0821,Private,Doctoral degree,,50,61,62,23,28,530,630,540,630,,,34752,96,59
C0822,Private,Master's degree,,65,72,73,21,28,490,630,490,605,470,600,36659,100,91
C0823,Private,Master's degree,,53,61,63,20,24,450,550,450,560,,,18893,98,92
C0824,Private,Doctoral degree,,69,75,76,,,,,,,,,34570,92,67
C0825,Private,Master's degree,,36,47,48,,,,,,,,,6276,100,88
C0826,Private,Master's degree,,63,73,74,21,26,480,570,500,600,,,43179,100,62
C0827,Private,Doctoral degree,,8,16,24,17,22,400,500,400,540,390,500,5940,97,87
C0828,Private,Doctoral degree,,22,34,39,19,23,440,520,440,540,420,530,7258,96,81
C0829,Private,Master's degree,,,,,,,,,,,,,,,
C0830,Private,Master's degree,,60,72,74,23,27,480,580,490,610,480,580,18273,92,66
C0831,Private,Doctoral degree,,54,58,58,,,480,590,490,590,470,580,4845,99,77
C0832,Private,Master's degree,,70,80,80,,,,,,,,,8436,88,37
C0833,Private,Bachelor's degree,,37,43,44,21,26,480,590,450,560,470,590,9214,92,75
C0834,Private,Doctoral degree,,38,48,50,,,390,480,370,490,,,476,92,54
C0835,Private,Doctoral degree,,23,32,35,,,,,,,,,11882,95,57
C0836,Private,Doctoral degree,,39,62,66,20,25,480,560,490,580,470,570,7569,97,73
C0837,Private,Master's degree,,41,50,52,20,24,450,540,460,550,,,2752,99,86
C0838,Private,Master's degree,,37,49,52,17,23,420,500,410,500,420,510,5766,100,73
C0839,Private,Doctoral degree,,59,67,68,,,,,,,,,21791,100,68
C0840,Private,Master's degree,,16,25,26,22,25,450,520,450,535,440,510,,100,57
C0841,Private,Doctoral degree,,50,62,65,22,28,505,635,510,605,,,22045,95,67
C0842,Private,Doctoral degree,,77,82,84,28,32,620,720,630,740,640,730,66851,55,26
C0843,Private,Doctoral degree,,60,65,65,21,25,460,550,470,570,,,22001,98,66
C0844,Private,Doctoral degree,,25,43,47,20,24,440,550,490,600,,,15730,97,74
C0845,Private,Doctoral degree,,24,39,42,17,22,400,535,370,520,,,3829,100,97
C0846,Private,Doctoral degree,,34,49,51,21,25,470,570,470,570,,,11184,99,77
C0847,Private,Bachelor's degree,,26,36,37,20,25,450,530,430,530,,,20754,99,75
C0848,Private,Doctoral degree,,33,52,57,28,32,550,660,640,740,550,650,30868,94,75
C0849,Private,Doctoral degree,,65,83,85,27,31,620,720,670,768,,,88229,95,41
C0850,Private,Master's degree,,53,60,61,20,25,450,590,470,580,440,560,12730,100,73
C0851,Private,Doctoral degree,,28,56,66,25,31,540,640,570,680,520,630,47198,95,60
C0852,Private,Doctoral degree,,77,84,85,29,32,600,700,650,750,620,700,162764,89,36
C0853,Private,Doctoral degree,,52,57,58,,,,,,,,,9469,98,57
C0854,Private,Master's degree,,54,66,67,21,27,460,580,470,600,450,570,24874,99,80
C0855,Private,Master's degree,,27,48,52,,,430,510,420,520,420,520,25980,98,64
C0856,Private,Master's degree,,77,80,80,,,,,,,,,104324,95,46
C0857,Private,Master's degree,,53,64,66,,,,,,,,,7914,99,78
C0858,Private,Master's degree,,36,52,53,17,20,420,520,410,530,410,510,28754,97,82
C0859,Private,Master's degree,,62,68,69,,,,,,,,,44780,78,62
C0860,Private,Master's degree,,74,79,80,22,27,500,600,520,620,480,590,42117,98,68
C0861,Private,Master's degree,,83,85,86,26,30,560,680,570,670,570,690,110095,57,35
C0862,Private,Master's degree,,56,70,72,21,25,470,570,480,580,460,560,10819,96,75
C0863,Private,Doctoral degree,,65,71,72,22,27,480,570,510,600,460,560,15525,100,63
C0864,Private,Doctoral degree,,36,47,55,21,27,480,590,490,620,,,25196,98,53
C0865,Public,Bachelor's degree,,39,47,49,21,26,470,570,530,610,,,1175,94,55
C0866,Public,Bachelor's degree,,23,29,29,,,,,,,,,2677,96,78
C0867,Public,Bachelor's degree,,28,43,45,,,,,,,,,1295,91,59
C0868,Public,Bachelor's degree,,29,40,44,16,22,450,540,450,540,,,1523,90,73
C0869,Public,Bachelor's degree,,21,41,43,19,23,430,510,450,540,,,771,68,53
C0870,Public,Bachelor's degree,,21,25,25,17,21,420,500,420,530,,,479,94,59
C0871,Public,Doctoral degree,,56,64,66,22,26,490,580,520,610,,,2600,79,55
C0872,Public,Doctoral degree,,69,79,81,27,30,590,675,630,710,580,670,4893,61,43
C0873,Public,Doctoral degree,,52,68,72,23,28,500,600,550,660,,,19863,75,57
C0874,Public,Doctoral degree,,45,63,66,26,30,550,650,600,700,540,650,6730,80,39
C0875,Public,Doctoral degree,,51,69,71,23,27,520,620,540,640,,,10676,90,51
C0876,Public,Master's degree,,32,45,48,22,26,450,550,500,580,,,1367,92,48
C0877,Public,Master's degree,,48,64,67,21,26,470,570,490,590,450,550,1042,87,48
C0878,Public,Master's degree,,25,45,49,,,440,520,450,540,,,2738,87,49
C0879,Public,Master's degree,,47,67,70,21,25,480,550,500,580,,,3788,84,47
C0880,Public,Master's degree,,45,63,64,21,26,470,570,470,580,,,4444,87,52
C0881,Public,Master's degree,,66,77,78,27,29,580,690,600,700,,,3910,59,46
C0882,Public,Master's degree,,51,68,70,23,27,510,610,520,610,510,600,2054,73,44
C0883,Public,Master's degree,,54,69,70,22,25,500,580,520,600,490,580,6137,79,51
C0884,Public,Master's degree,,40,56,58,22,26,520,590,520,590,,,2181,91,49
C0885,Public,Master's degree,,30,49,51,,,,,,,,,4926,91,68
C0886,Public,Master's degree,,50,58,60,21,26,500,600,480,580,490,600,12326,82,33
C0887,Public,Master's degree,,20,32,36,19,22,450,530,470,550,430,520,44,77,58
C0888,Public,Master's degree,,41,58,60,20,24,460,550,470,570,,,2624,91,46
C0889,Public,Master's degree,,8,13,16,,,,,,,,,1849,94,81
C0890,Public,Master's degree,,25,44,50,20,26,450,570,480,600,430,560,2048,76,64
C0891,Private,Doctoral degree,,69,79,81,23,28,500,620,540,650,520,630,49259,74,49
C0892,Private,Doctoral degree,,,,,,,,,,,,,63758,,
C0893,Private,Doctoral degree,,31,42,48,,,,,,,,,991,84,59
C0894,Private,Master's degree,,,,,,,,,,,,,42,,
C0895,Private,Bachelor's degree,,82,87,88,28,31,590,680,630,720,590,690,172819,81,37
C0896,Public,Master's degree,,62,74,74,,,,,,,,,,18,
C0897,Private,Doctoral degree,,30,44,47,18,23,410,520,420,530,400,500,6923,99,85
C0898,Private,Master's degree,,90,93,94,30,33,660,740,650,730,660,750,351860,71,24
C0899,Private,Master's degree,,53,61,61,22,27,530,630,520,640,520,620,36002,99,70
C0900,Private,Bachelor's degree,,56,58,58,21,26,480,600,470,590,460,560,55802,100,60
C0901,Private,Doctoral degree,,60,81,85,23,29,550,680,550,690,540,670,180152,84,82
C0902,Public,Doctoral degree,,42,64,69,24,28,520,620,540,620,500,590,4526,67,63
C0903,Private,Master's degree,,41,47,48,18,22,410,500,430,520,390,480,24393,100,42
C0904,Private,Bachelor's degree,,33,38,38,18,24,428,540,440,530,,,5529,100,68
C0905,Private,Bachelor's degree,,25,39,44,,,,,,,,,16115,100,83
C0906,Private,Bachelor's degree,,31,41,43,18,22,420,520,430,530,,,34639,99,45
C0907,Private,Doctoral degree,,39,46,49,17,27,380,655,385,645,390,650,20894,100,70
C0908,Private,Master's degree,,41,50,53,,,430,540,440,560,,,40089,99,41
C0909,Private,Master's degree,,15,22,24,14,17,360,430,340,440,340,420,18888,100,62
C0910,Private,Bachelor's degree,,90,92,92,29,33,630,730,600,710,610,710,292976,62,26
C0911,Private,Doctoral degree,,87,93,94,30,34,670,760,690,790,680,780,364661,64,13
C0912,Public,Doctoral degree,,31,52,56,21,24,480,550,500,570,450,540,5852,73,62
C0913,Public,Master's degree,,21,38,42,16,18,380,450,400,470,370,440,1815,97,57
C0914,Private,Doctoral degree,,77,81,82,23,26,560,660,560,660,560,660,27116,68,54
C0915,Public,Doctoral degree,,12,27,32,17,19,380,450,400,470,360,430,3374,96,55
C0916,Private,Doctoral degree,,43,55,55,19,25,440,550,460,570,430,550,13056,100,48
C0917,Private,Master's degree,,15,28,31,15,21,390,500,400,520,380,480,19158,100,78
C0918,Private,Bachelor's degree,,49,55,57,20,26,460,610,480,580,450,580,34506,99,68
C0919,Private,Doctoral degree,,58,62,62,21,26,490,580,500,600,480,580,10066,73,64
C0920,Private,Bachelor's degree,,32,40,44,15,19,363,470,370,450,,,,89,37
C0921,Private,Bachelor's degree,,30,38,38,,,,,,,,,24342,100,66
C0922,Private,Master's degree,,40,48,49,18,23,430,530,450,550,,,39732,99,68
C0923,Private,Bachelor's degree,,11,17,20,13,16,320,410,320,410,310,390,1610,98,71
C0924,Private,Master's degree,,26,38,38,17,23,410,510,420,530,,,27581,99,64
C0925,Private,Master's degree,,50,61,62,20,25,460,570,470,570,,,43193,100,62
C0926,Private,Master's degree,,18,40,43,18,23,420,520,440,540,400,490,8641,99,61
C0927,Private,Master's degree,,26,37,39,17,23,400,550,420,530,,,13183,100,54
C0928,Private,Bachelor's degree,,26,35,37,17,20,400,490,420,530,,,9058,100,50
C0929,Public,Doctoral degree,,16,35,43,17,21,400,480,420,500,390,470,3808,95,70
C0930,Public,Master's degree,,37,56,60,24,27,550,650,550,640,520,620,10246,77,64
C0931,Public,Doctoral degree,,81,88,90,28,32,590,700,610,710,580,690,80248,68,28
C0932,Public,Doctoral degree,,26,48,54,20,25,480,560,500,600,470,550,6424,75,69
C0933,Public,Doctoral degree,,30,50,55,21,25,460,560,470,560,440,540,13884,80,60
C0934,Public,Doctoral degree,,15,33,40,16,19,390,460,400,470,370,450,2872,97,50
C0935,Public,Doctoral degree,,41,68,74,25,30,550,640,590,670,520,620,25201,71,50
C0936,Private,Bachelor's degree,,23,32,33,15,20,370,470,400,500,,,8775,84,47
C0937,Public,Doctoral degree,,52,68,71,22,26,540,620,560,630,520,600,5626,69,54
C0938,Private,Bachelor's degree,,38,43,43,16,21,410,520,400,510,,,50855,100,91
C0939,Public,Master's degree,,15,28,33,18,21,410,500,430,510,390,480,3278,92,72
C0940,Private,Master's degree,,33,48,48,18,22,410,520,440,540,400,500,10373,100,96
C0941,Private,Master's degree,,44,51,52,21,26,470,560,470,580,460,560,42253,97,77
C0942,Private,Bachelor's degree,,30,50,60,14,20,340,530,360,500,,,16582,100,41
C0943,Private,Bachelor's degree,,22,29,29,13,17,330,423,335,435,,,11458,85,67
C0944,Private,Master's degree,,61,64,64,22,27,510,620,490,580,,,50593,99,58
C0945,Private,Master's degree,,16,26,30,,,,,,,,,4647,98,54
C0946,Private,Master's degree,,4,42,42,18,23,430,510,450,530,400,490,18744,100,64
C0947,Private,Doctoral degree,,82,86,86,,,,,,,,,143348,81,35
C0948,Private,Master's degree,,40,51,51,23,27,530,660,480,590,520,610,63362,90,70
C0949,Private,Doctoral degree,,47,51,53,19,24,440,550,470,570,430,530,17933,99,79
C0950,Public,Doctoral degree,,18,38,46,16,19,410,470,430,490,380,460,3898,96,56
C0951,Public,Doctoral degree,,32,48,51,20,24,460,560,480,570,440,530,6199,83,38
C0952,Public,Bachelor's degree,,15,31,38,18,23,425,533,405,505,380,475,7753,82,49
C0953,Private,Doctoral degree,,33,50,51,21,24,430,570,430,530,,,31554,100,57
C0954,Private,Doctoral degree,,28,36,49,20,25,450,570,450,560,,,12374,100,83
C0955,Public,Bachelor's degree,,21,31,36,,,,,,,,,,95,
C0956,Public,Master's degree,,14,32,37,19,24,428,500,438,543,,,5036,91,57
C0957,Public,Doctoral degree,,24,47,53,21,26,470,590,500,610,450,550,1000,88,74
C0958,Public,Doctoral degree,,26,46,53,21,26,490,625,490,650,450,580,28,88,84
C0959,Public,Master's degree,,23,39,46,18,23,420,460,440,510,380,440,4742,99,83
C0960,Public,Doctoral degree,,16,34,40,18,25,450,590,470,610,,,8639,90,96
C0961,Private,Doctoral degree,,42,54,56,20,25,430,550,440,550,440,530,9394,97,74
C0962,Private,Master's degree,,55,69,71,21,27,470,610,480,590,,,33733,100,64
C0963,Private,Master's degree,,52,58,60,19,25,430,560,440,580,,,20012,100,53
