ID,Control,Highest degree offered,Total enrollment,4-year graduation rate (%),5-year graduation rate (%),6-year graduation rate (%),ACT Composite score (25th percentile) ,ACT Composite score (75th percentile),SAT Critical Reading score (25th percentile),SAT Critical Reading score (75th percentile),SAT Math score (25th percentile),SAT Math score (75th percentile),SAT Writing score (25th percentile) ,SAT Writing score (75th percentile),Endowment assets ($),Receiving financial aid (%),Admission rate (%)
C0172,Private,Doctoral degree,6555,44,53,55,20,25,460,550,470,580,460,560,4809,95,74
C0173,Private,Doctoral degree,8803,72,76,76,22,27,490,580,510,610,500,590,36852,89,67
C0174,Private,Doctoral degree,6983,63,69,70,,,,,,,,,20869,95,76
C0175,Private,Doctoral degree,2640,37,50,52,18,22,430,520,430,520,,,11878,100,86
C0176,Public,Doctoral degree,10804,18,42,49,17,22,410,510,410,510,420,530,1343,81,75
C0177,Private,Master's degree,2390,81,85,86,25,29,570,680,580,670,590,673,206497,41,32
C0178,Private,Doctoral degree,3205,86,91,92,29,33,640,740,660,740,650,750,208049,51,21
C0179,Public,Doctoral degree,6025,21,40,45,,,,,,,,,,81,65
C0180,Private,Doctoral degree,12109,90,96,98,32,35,700,800,710,790,710,800,1528324,61,7
C0181,Public,Doctoral degree,4336,18,33,37,16,19,410,480,410,490,390,470,4724,97,42
C0182,Public,Doctoral degree,22166,68,79,82,24,29,520,630,540,650,520,630,55964,82,65
C0183,Private,Master's degree,1655,11,20,22,16,23,360,470,360,475,360,455,4470,97,62
C0184,Private,Doctoral degree,13621,31,36,38,,,,,,,,,4066,87,
C0185,Private,Doctoral degree,12818,76,79,80,26,30,590,690,570,660,580,680,45966,80,43
C0186,Private,Doctoral degree,6725,62,68,69,22,27,500,610,510,610,,,45507,95,60
C0187,Public,Master's degree,5011,6,11,16,,,,,,,,,9456,86,
C0188,Private,Doctoral degree,1561,16,42,48,15,20,348,435,345,495,,,121176,88,66
C0189,Private,Doctoral degree,25264,76,80,81,27,31,600,690,600,700,610,700,63277,68,33
C0190,Private,Doctoral degree,17849,88,91,92,29,33,650,750,660,750,,,83669,53,17
C0191,Private,Doctoral degree,10297,40,56,61,21,26,490,590,480,590,480,580,55408,93,49
C0192,Private,Master's degree,2506,15,31,34,,,,,,,,,12127,99,52
C0193,Private,Doctoral degree,9030,22,35,37,17,21,420,520,420,520,410,490,3670,97,47
C0194,Private,Master's degree,3787,23,43,49,15,18,370,460,360,450,,,12507,99,67
C0195,Private,Doctoral degree,2297,33,39,41,18,22,410,520,410,530,410,510,10304,79,78
C0196,Private,Doctoral degree,991,13,17,17,,,,,,,,,,100,36
C0197,Public,Doctoral degree,59589,36,61,67,23,28,540,630,550,640,510,610,2587,96,49
C0198,Private,Master's degree,505,44,53,53,19,25,460,580,450,550,,,1742,100,70
C0199,Private,Bachelor's degree,2173,59,65,66,23,28,510,620,500,610,,,20145,97,71
C0200,Private,Bachelor's degree,862,1,19,20,15,18,350,440,360,440,340,430,1851,97,27
C0201,Private,Doctoral degree,5279,34,53,56,21,27,470,590,510,640,460,580,10039,92,74
C0202,Public,Doctoral degree,10743,12,29,41,18,22,430,520,420,510,410,490,6827,95,45
C0203,Public,Doctoral degree,30759,15,33,41,20,24,480,560,480,570,470,560,7678,87,48
C0204,Private,Bachelor's degree,2839,46,62,63,21,25,540,580,530,580,520,570,21644,85,50
C0205,Private,Bachelor's degree,558,9,9,9,20,26,470,590,460,570,,,20266,94,59
C0206,Private,Doctoral degree,5644,39,52,54,23,28,500,610,530,650,,,11992,95,60
C0207,Public,Doctoral degree,47663,20,41,52,24,27,540,620,530,610,520,600,5533,91,43
C0208,Private,Master's degree,1560,23,35,37,,,,,,,,,5871,90,42
C0209,Private,Master's degree,2619,47,57,58,22,27,490,590,500,590,480,580,32743,99,50
C0210,Public,Doctoral degree,40909,57,74,77,25,29,560,640,550,640,560,640,13906,95,57
C0211,Public,Doctoral degree,49878,65,83,87,26,31,580,670,590,690,570,680,28599,96,47
C0212,Private,Doctoral degree,4157,24,37,38,19,24,450,550,460,560,,,11979,99,47
C0213,Private,Bachelor's degree,449,14,14,14,,,,,,,,,,50,
C0214,Private,Doctoral degree,17129,59,67,68,,,,,,,,,,92,93
C0215,Private,Master's degree,347,,,,,,,,,,,,1158,,
C0216,Private,Doctoral degree,16935,71,81,82,28,32,600,700,630,720,590,690,48576,75,40
C0217,Private,Bachelor's degree,189,44,44,44,,,,,,,,,,95,81
C0218,Public,Doctoral degree,16083,21,43,50,23,26,540,620,540,610,500,590,6018,94,53
C0219,Private,Doctoral degree,25670,25,37,41,21,27,470,590,480,600,,,2645,98,57
C0220,Private,Doctoral degree,3764,40,46,48,20,26,470,590,455,590,,,23183,100,84
C0221,Private,Doctoral degree,3153,61,67,67,24,29,550,640,550,650,540,650,113393,86,59
C0222,Private,Doctoral degree,16275,31,44,46,,,,,,,,,2998,94,77
C0223,Public,Bachelor's degree,31820,,,,,,,,,,,,1241,81,
C0224,Public,Doctoral degree,41428,36,57,63,23,28,530,620,550,640,510,610,9188,98,45
C0225,Private,Doctoral degree,2315,28,36,38,16,21,410,510,408,500,400,490,6553,100,46
C0226,Private,Doctoral degree,4044,56,63,64,23,28,540,640,530,630,510,610,41755,100,59
C0227,Private,Master's degree,3434,24,35,38,17,23,430,550,410,530,420,530,2830,97,59
C0228,Private,Master's degree,7260,51,60,61,21,26,480,570,500,580,480,560,4130,95,52
C0229,Private,Master's degree,1162,26,40,40,17,21,410,490,410,500,,,4235,99,34
C0230,Private,Master's degree,715,2,31,33,17,24,330,530,342,547,,,6633,100,64
C0231,Public,Doctoral degree,12588,20,36,42,21,26,460,570,460,560,440,540,4664,91,48
C0232,Private,Bachelor's degree,915,66,70,72,,,,,,,,,281391,100,67
C0233,Public,Master's degree,4260,16,35,42,17,20,420,480,400,470,,,485,99,20
C0234,Public,Doctoral degree,7101,10,26,34,19,23,460,550,450,540,,,1417,91,70
C0235,Private,Bachelor's degree,1439,33,47,48,18,22,420,535,420,510,,,2402,95,54
C0236,Private,Doctoral degree,3458,21,35,39,17,21,390,470,380,470,,,18051,98,57
C0237,Private,Master's degree,2223,50,58,60,24,29,530,640,530,630,520,610,409661,100,60
C0238,Private,Doctoral degree,2854,30,40,45,19,21,440,550,430,500,,,13894,97,78
C0239,Private,Bachelor's degree,693,10,13,15,17,20,400,490,410,500,370,480,27945,100,51
C0240,Public,Master's degree,7261,9,22,29,18,21,440,520,420,510,420,500,686,94,48
C0241,Public,Doctoral degree,8156,12,24,31,19,23,440,550,430,540,420,530,6514,93,55
C0242,Private,Master's degree,1173,48,57,58,23,28,530,670,530,630,530,650,24117,100,57
C0243,Public,Bachelor's degree,5015,8,17,21,,,,,,,,,2488,93,
C0244,Private,Bachelor's degree,806,31,41,45,,,410,510,420,530,,,4764,100,48
C0245,Private,Doctoral degree,14513,84,89,91,29,32,620,710,650,750,640,730,382343,53,26
C0246,Public,Master's degree,3180,8,22,30,,,380,460,370,450,,,1782,97,33
C0247,Public,Doctoral degree,21471,41,76,82,28,32,600,700,660,760,610,700,77288,72,55
C0248,Public,Master's degree,2806,15,30,36,18,22,440,520,420,520,,,4532,91,68
C0249,Public,Doctoral degree,6551,39,58,61,22,26,530,610,520,620,510,600,5101,95,68
C0250,Public,Doctoral degree,20517,26,45,50,21,25,520,590,510,600,490,570,2244,89,52
C0251,Public,Doctoral degree,32165,21,44,53,20,25,480,580,480,590,,,5272,91,55
C0252,Public,Doctoral degree,34536,57,80,82,26,30,560,660,580,670,570,670,2069,94,56
C0253,Public,Doctoral degree,24629,15,35,43,21,24,500,590,490,580,470,570,1180,90,57
C0254,Private,Master's degree,940,31,37,38,19,23,460,550,450,540,,,55914,99,58
C0255,Private,Doctoral degree,2730,22,22,22,,,,,,,,,,92,75
C0256,Private,Doctoral degree,8351,44,58,59,23,28,540,630,540,640,,,24270,100,69
C0257,Private,Bachelor's degree,2170,39,51,54,18,23,450,550,450,560,430,550,52890,94,67
C0258,Public,Doctoral degree,,,,,,,,,,,,,,,
C0259,Private,Master's degree,,55,61,62,22,27,520,630,510,610,490,610,18477,97,56
C0260,Private,Bachelor's degree,,4,16,21,14,18,340,430,340,440,330,410,,99,44
C0261,Private,Doctoral degree,,40,46,46,19,24,450,560,440,540,,,23346,99,61
C0262,Private,Master's degree,,21,27,28,18,25,437,590,415,586,,,31428,92,51
C0263,Public,Master's degree,,8,23,29,16,19,390,460,380,460,370,450,1037,99,83
C0264,Private,Master's degree,,33,46,46,18,23,410,530,410,530,410,500,8711,99,68
C0265,Private,Bachelor's degree,,60,66,68,20,24,470,570,460,540,,,137294,90,38
C0266,Public,Master's degree,,10,29,38,22,26,500,600,530,630,,,1213,91,78
C0267,Private,Master's degree,,14,19,27,,,,,,,,,4792,56,69
C0268,Private,Bachelor's degree,,35,43,46,17,23,450,590,450,570,,,2811,100,49
C0269,Private,Bachelor's degree,,10,14,16,17,22,430,530,410,520,400,520,3613,100,81
C0270,Public,Doctoral degree,,16,34,40,20,24,480,570,470,550,450,540,2747,92,55
C0271,Private,Master's degree,,58,64,64,17,22,450,570,430,560,420,540,101523,100,43
C0272,Public,Doctoral degree,,17,36,43,18,22,440,520,430,510,420,510,2122,94,54
C0273,Private,Master's degree,,27,36,38,19,23,430,520,440,540,,,5157,100,84
C0274,Public,Doctoral degree,,8,30,36,19,23,410,540,430,550,400,510,63,85,75
C0275,Public,Doctoral degree,,19,44,57,21,27,480,580,500,610,470,570,1992,79,80
C0276,Private,Master's degree,,19,35,40,19,25,430,550,440,560,,,11735,95,64
C0277,Public,Bachelor's degree,,6,25,25,16,22,400,480,400,500,380,470,125,64,76
C0278,Public,Doctoral degree,,11,30,38,20,26,460,570,460,580,,,4948,80,78
C0279,Public,Doctoral degree,,11,12,31,,,,,,,,,3835,87,
C0280,Public,Doctoral degree,,25,48,54,20,26,480,590,480,590,460,570,19308,91,66
C0281,Private,Master's degree,,54,63,67,21,27,460,570,465,590,455,570,92003,99,91
C0282,Public,Bachelor's degree,,9,22,24,18,22,400,510,420,520,,,1610,97,100
C0283,Private,Doctoral degree,,32,44,49,21,28,460,590,460,570,460,570,12430,100,62
C0284,Private,Bachelor's degree,,22,41,54,20,25,450,560,440,560,,,2580,71,100
