ID,Control,Highest degree offered,Admission rate (%),Tuition and fees 2010-11 ($),Tuition and fees 2011-12 ($),Tuition and fees 2012-13 ($),Tuition and fees 2013-14 ($),ACT Composite score (25th percentile) ,ACT Composite score (75th percentile),SAT Critical Reading score (25th percentile),SAT Critical Reading score (75th percentile),SAT Math score (25th percentile),SAT Math score (75th percentile),SAT Writing score (25th percentile) ,SAT Writing score (75th percentile),Receiving financial aid (%)
C0092,Private,Master's degree,91,26000,27300,28500,29630,20,25,453,550,450,560,450,550,100
C0093,Private,Bachelor's degree,49,22692,23814,25108,25888,19,22,440,570,430,550,425,530,100
C0094,Private,Doctoral degree,,,,,,,,,,,,,,
C0095,Private,Master's degree,12,40230,42240,44085,45625,29,33,650,740,670,760,660,750,53
C0096,Private,Master's degree,100,19600,19600,19600,20200,,,,,,,,,90
C0097,Private,Master's degree,78,35550,37350,39050,40600,20,25,480,570,480,590,480,580,98
C0098,Private,Doctoral degree,,,,,,,,,,,,,,
C0099,Private,Master's degree,78,23904,24790,25336,25716,18,22,440,550,440,550,428,550,99
C0100,Private,Doctoral degree,,,,14160,14400,,,,,,,,,
C0101,Private,Bachelor's degree,18,40390,42410,44442,46509,32,35,680,760,720,800,670,760,75
C0102,Private,Master's degree,57,28690,30390,31640,33020,17,21,410,500,410,500,,,100
C0103,Public,Master's degree,80,5750,7062,7135,7144,18,24,450,580,440,560,,,74
C0104,Private,Doctoral degree,,10134,10620,11160,11277,,,,,,,,,73
C0105,Private,Doctoral degree,,,,,,,,,,,,,,
C0106,Private,Master's degree,59,24542,25788,27080,27900,,,,,,,,,92
C0107,Private,Doctoral degree,39,29800,31300,33350,35000,20,25,460,550,470,580,460,560,97
C0108,Private,Doctoral degree,,9210,9220,10105,10105,,,,,,,,,22
C0109,Private,Doctoral degree,47,25881,27231,28314,29103,17,22,400,510,410,530,410,520,100
C0110,Private,Doctoral degree,61,25640,26650,27700,28800,22,27,490,620,470,610,,,99
C0111,Private,Doctoral degree,54,36622,37825,39125,40265,25,29,540,640,550,650,550,650,90
C0112,Private,Bachelor's degree,37,33550,35076,36110,37100,19,25,432,532,450,565,425,513,98
C0113,Private,Doctoral degree,68,37485,39264,40080,41494,23,28,540,640,500,610,520,620,100
C0114,Private,Master's degree,,,,,,,,,,,,,,
C0115,Private,Doctoral degree,74,30132,31339,32894,33852,16,22,420,510,420,520,,,100
C0116,Private,Doctoral degree,,11088,11376,11736,12096,,,,,,,,,41
C0117,Private,Master's degree,87,28500,29890,30522,31126,18,22,430,550,430,560,430,510,100
C0118,Private,Master's degree,42,40939,42871,44570,46652,27,31,600,700,610,700,610,700,69
C0119,Private,Master's degree,47,23250,24064,25264,26050,17,22,433,538,420,528,423,530,98
C0120,Private,Master's degree,51,25221,25965,26640,27480,18,25,450,570,440,580,440,560,100
C0121,Private,Doctoral degree,73,34100,36290,38320,39810,22,29,500,640,530,680,500,640,91
C0122,Private,Doctoral degree,37,39080,40752,42772,44902,,,560,660,570,680,570,670,72
C0123,Private,Bachelor's degree,15,41130,42550,43402,45018,,,,,,,,,41
C0124,Private,Master's degree,67,27100,28310,29510,30356,23,28,520,630,520,630,,,93
C0125,Private,Bachelor's degree,14,38394,39883,41438,43580,31,34,690,760,690,780,690,780,68
C0126,Private,Doctoral degree,67,35540,37302,39338,41290,23,27,510,610,520,620,,,94
C0127,Public,Doctoral degree,31,5206,6578,6578,6766,21,26,480,590,500,610,,,62
C0128,Private,Doctoral degree,49,37372,38582,39970,41392,25,30,540,650,570,670,,,76
C0129,Public,Doctoral degree,64,5014,6276,6440,6450,19,24,430,550,450,560,,,70
C0130,Private,Doctoral degree,61,36380,37424,38884,40294,23,27,530,630,540,640,530,630,71
C0131,Public,Master's degree,63,5370,6828,6852,7343,19,25,440,550,470,600,,,60
C0132,Private,Doctoral degree,51,37368,39048,40572,42156,27,31,590,680,610,700,,,84
C0133,Private,Bachelor's degree,36,40450,41950,43620,45564,29,32,640,733,640,720,660,750,61
C0134,Private,Master's degree,55,21000,21600,22400,23300,21,23,460,570,450,580,450,560,100
C0135,Private,Doctoral degree,69,35430,37150,38450,39890,22,27,500,600,510,610,510,610,91
C0136,Public,Master's degree,82,5508,6862,7162,7234,19,24,450,550,450,560,,,62
C0137,Private,Master's degree,70,26342,27400,28500,29250,18,28,430,550,400,520,,,99
C0138,Private,Doctoral degree,20,41022,42818,44463,46298,29,33,620,720,660,760,640,750,67
