ID,Control,Highest degree offered
C0542,Public,Master's degree
C0543,Private,Master's degree
C0544,Private,Bachelor's degree
C0545,Private,Doctoral degree
C0546,Private,Bachelor's degree
C0547,Private,Master's degree
C0548,Private,Doctoral degree
C0549,Public,Doctoral degree
C0550,Public,Doctoral degree
C0551,Public,Doctoral degree
C0552,Private,Doctoral degree
C0553,Public,Master's degree
C0554,Private,Master's degree
C0555,Private,Master's degree
C0556,Private,Master's degree
C0557,Private,Bachelor's degree
C0558,Private,Master's degree
C0559,Public,Master's degree
C0560,Private,Doctoral degree
C0561,Private,Master's degree
C0562,Private,Master's degree
C0563,Public,Master's degree
C0564,Private,Doctoral degree
C0565,Private,Bachelor's degree
C0566,Private,Doctoral degree
C0567,Private,Doctoral degree
C0568,Public,Doctoral degree
C0569,Private,Bachelor's degree
C0570,Private,Doctoral degree
C0571,Private,Doctoral degree
C0572,Private,Bachelor's degree
C0573,Private,Master's degree
C0574,Private,Doctoral degree
C0575,Public,Master's degree
C0576,Private,Bachelor's degree
C0577,Private,Master's degree
C0578,Private,Master's degree
C0579,Private,Doctoral degree
C0580,Public,Master's degree
C0581,Private,Master's degree
C0582,Private,Bachelor's degree
C0583,Private,Bachelor's degree
C0584,Private,Doctoral degree
C0585,Private,Master's degree
C0586,Private,Bachelor's degree
C0587,Private,Bachelor's degree
C0588,Private,Master's degree
C0589,Public,Doctoral degree
C0590,Private,Master's degree
C0591,Private,Master's degree
C0592,Private,Doctoral degree
C0593,Public,Doctoral degree
C0594,Public,Doctoral degree
C0595,Private,Master's degree
C0596,Private,Bachelor's degree
C0597,Private,Master's degree
C0598,Public,Doctoral degree
C0599,Private,Bachelor's degree
C0600,Private,Bachelor's degree
C0601,Public,Master's degree
C0602,Private,Doctoral degree
C0603,Private,Doctoral degree
C0604,Private,Master's degree
C0605,Private,Master's degree
C0606,Public,Doctoral degree
C0607,Public,Doctoral degree
C0608,Public,Doctoral degree
C0609,Public,Doctoral degree
C0610,Public,Doctoral degree
C0611,Private,Bachelor's degree
C0612,Public,Master's degree
C0613,Public,Doctoral degree
C0614,Private,Master's degree
C0615,Private,Bachelor's degree
C0616,Public,Doctoral degree
C0617,Private,Master's degree
C0618,Private,Master's degree
C0619,Private,Bachelor's degree
C0620,Public,Doctoral degree
C0621,Public,Doctoral degree
C0622,Private,Doctoral degree
C0623,Public,Master's degree
C0624,Private,Bachelor's degree
C0625,Private,Doctoral degree
C0626,Private,Bachelor's degree
C0627,Private,Master's degree
C0628,Private,Master's degree
C0629,Private,Master's degree
C0630,Private,Bachelor's degree
C0631,Private,Doctoral degree
C0632,Private,Bachelor's degree
C0633,Public,Doctoral degree
C0634,Public,Doctoral degree
C0635,Public,Doctoral degree
C0636,Public,Bachelor's degree
C0637,Public,Doctoral degree
C0638,Public,Bachelor's degree
C0639,Public,Doctoral degree
C0640,Private,Bachelor's degree
C0641,Private,Master's degree
C0642,Private,Bachelor's degree
C0643,Public,Doctoral degree
C0644,Private,Master's degree
C0645,Private,Doctoral degree
C0646,Private,Bachelor's degree
C0647,Private,Master's degree
C0648,Private,Doctoral degree
C0649,Private,Doctoral degree
C0650,Private,Doctoral degree
C0651,Public,Master's degree
C0652,Public,Doctoral degree
C0653,Public,Master's degree
C0654,Private,Master's degree
C0655,Private,Master's degree
C0656,Public,Doctoral degree
C0657,Public,Doctoral degree
C0658,Private,Master's degree
C0659,Public,Doctoral degree
C0660,Public,Doctoral degree
C0661,Public,Master's degree
C0662,Private,Doctoral degree
C0663,Public,Doctoral degree
C0664,Private,Bachelor's degree
C0665,Public,Doctoral degree
C0666,Private,Bachelor's degree
C0667,Private,Doctoral degree
C0668,Private,Master's degree
C0669,Private,Bachelor's degree
C0670,Public,Master's degree
C0671,Private,Master's degree
C0672,Private,Master's degree
C0673,Private,Master's degree
C0674,Private,Master's degree
C0675,Private,Master's degree
C0676,Private,Master's degree
C0677,Public,Bachelor's degree
C0678,Public,Master's degree
C0679,Private,Doctoral degree
C0680,Private,Doctoral degree
C0681,Private,Doctoral degree
C0682,Public,Master's degree
C0683,Private,Master's degree
C0684,Public,Master's degree
C0685,Public,Doctoral degree
C0686,Public,Doctoral degree
C0687,Public,Doctoral degree
C0688,Public,Doctoral degree
C0689,Public,Master's degree
C0690,Public,Master's degree
C0691,Private,Bachelor's degree
C0692,Private,Master's degree
C0693,Private,Doctoral degree
C0694,Private,Doctoral degree
C0695,Private,Doctoral degree
C0696,Private,Master's degree
C0697,Public,Master's degree
C0698,Public,Doctoral degree
C0699,Private,Doctoral degree
C0700,Private,Doctoral degree
C0701,Private,Bachelor's degree
C0702,Private,Bachelor's degree
C0703,Private,Doctoral degree
C0704,Private,Bachelor's degree
C0705,Public,Master's degree
C0706,Private,Master's degree
C0707,Public,Master's degree
C0708,Public,Doctoral degree
C0709,Public,Doctoral degree
C0710,Public,Master's degree
C0711,Private,Master's degree
C0712,Public,Bachelor's degree
C0713,Private,Doctoral degree
C0714,Public,Master's degree
C0715,Private,Master's degree
C0716,Private,Doctoral degree
C0717,Private,Bachelor's degree
C0718,Private,Master's degree
C0719,Private,Master's degree
C0720,Public,Master's degree
C0721,Private,Master's degree
C0722,Public,Doctoral degree
C0723,Private,Master's degree
C0724,Public,Doctoral degree
C0725,Public,Master's degree
C0726,Private,Doctoral degree
C0727,Private,Master's degree
C0728,Public,Master's degree
C0729,Private,Master's degree
C0730,Public,Doctoral degree
C0731,Public,Doctoral degree
C0732,Public,Bachelor's degree
C0733,Private,Master's degree
C0734,Private,Bachelor's degree
C0735,Private,Doctoral degree
C0736,Private,Doctoral degree
C0737,Private,Doctoral degree
C0738,Private,Doctoral degree
C0739,Public,Doctoral degree
C0740,Public,Master's degree
C0741,Public,Bachelor's degree
C0742,Public,Doctoral degree
C0743,Private,Doctoral degree
C0744,Private,Bachelor's degree
C0745,Public,Master's degree
C0746,Private,Bachelor's degree
C0747,Private,Master's degree
C0748,Private,Doctoral degree
C0749,Private,Master's degree
C0750,Private,Doctoral degree
C0751,Private,Doctoral degree
C0752,Private,Doctoral degree
C0753,Private,Doctoral degree
C0754,Private,Master's degree
C0755,Public,Doctoral degree
C0756,Public,Doctoral degree
C0757,Public,Doctoral degree
C0758,Private,Doctoral degree
C0759,Public,Doctoral degree
C0760,Public,Doctoral degree
C0761,Private,Doctoral degree
C0762,Public,Master's degree
C0763,Private,Master's degree
C0764,Public,Doctoral degree
C0765,Public,Doctoral degree
C0766,Public,Doctoral degree
C0767,Private,Doctoral degree
C0768,Private,Doctoral degree
C0769,Private,Doctoral degree
C0770,Private,Doctoral degree
C0771,Public,Doctoral degree
C0772,Public,Master's degree
C0773,Public,Master's degree
C0774,Public,Doctoral degree
C0775,Public,Master's degree
C0776,Public,Master's degree
C0777,Public,Doctoral degree
C0778,Public,Doctoral degree
C0779,Public,Doctoral degree
C0780,Public,Bachelor's degree
C0781,Private,Master's degree
C0782,Public,Master's degree
C0783,Private,Master's degree
C0784,Private,Doctoral degree
C0785,Private,Doctoral degree
C0786,Private,Doctoral degree
C0787,Private,Bachelor's degree
C0788,Private,Master's degree
C0789,Private,Master's degree
C0790,Private,Bachelor's degree
C0791,Private,Doctoral degree
C0792,Private,Master's degree
C0793,Private,Master's degree
C0794,Private,Doctoral degree
C0795,Private,Master's degree
C0796,Private,Master's degree
C0797,Private,Doctoral degree
C0798,Public,Master's degree
C0799,Public,Master's degree
C0800,Public,Master's degree
C0801,Public,Doctoral degree
C0802,Public,Doctoral degree
C0803,Public,Doctoral degree
C0804,Public,Master's degree
C0805,Public,Master's degree
C0806,Public,Bachelor's degree
C0807,Public,Bachelor's degree
C0808,Public,Master's degree
C0809,Public,Master's degree
C0810,Private,Doctoral degree
C0811,Private,Doctoral degree
C0812,Private,Doctoral degree
C0813,Private,Doctoral degree
C0814,Private,Master's degree
C0815,Public,Master's degree
C0816,Private,Doctoral degree
C0817,Private,Bachelor's degree
C0818,Private,Bachelor's degree
C0819,Private,Master's degree
C0820,Private,Master's degree
C0821,Private,Doctoral degree
C0822,Private,Master's degree
C0823,Private,Master's degree
C0824,Private,Doctoral degree
C0825,Private,Master's degree
C0826,Private,Master's degree
C0827,Private,Doctoral degree
C0828,Private,Doctoral degree
C0829,Private,Master's degree
C0830,Private,Master's degree
C0831,Private,Doctoral degree
C0832,Private,Master's degree
C0833,Private,Bachelor's degree
C0834,Private,Doctoral degree
C0835,Private,Doctoral degree
C0836,Private,Doctoral degree
C0837,Private,Master's degree
