ID,Control,Highest degree offered,,Admission rate (%),Total enrollment,Tuition and fees 2011-12 ($),4-year graduation rate (%),Geographic region,ACT Composite score (25th percentile),ACT Composite score (75th percentile),Receiving financial aid (%)
C0237,Private,Master's degree,,60,2223,26090,50,Southeast,24,29,100
C0238,Private,Doctoral degree,,78,2854,21124,30,Southeast,19,21,97
C0239,Private,Bachelor's degree,,51,693,13790,10,Southeast,17,20,100
C0240,Public,Master's degree,,48,7261,4926,9,Southeast,18,21,94
C0241,Public,Doctoral degree,,55,8156,5457,12,Southeast,19,23,93
C0242,Private,Master's degree,,57,1173,27220,48,Southeast,23,28,100
C0243,Public,Bachelor's degree,,,5015,3622,8,Southeast,,,93
C0244,Private,Bachelor's degree,,48,806,14550,31,Southeast,,,100
C0245,Private,Doctoral degree,,26,14513,41164,84,Southeast,29,32,53
C0246,Public,Master's degree,,33,3180,6030,8,Southeast,,,97
C0247,Public,Doctoral degree,,55,21471,9652,41,Southeast,28,32,72
C0248,Public,Master's degree,,68,2806,4786,15,Southeast,18,22,91
C0249,Public,Doctoral degree,,68,6551,8344,39,Southeast,22,26,95
C0250,Public,Doctoral degree,,52,20517,5659,26,Southeast,21,25,89
C0251,Public,Doctoral degree,,55,32165,9410,21,Southeast,20,25,91
C0252,Public,Doctoral degree,,56,34536,9472,57,Southeast,26,30,94
C0253,Public,Doctoral degree,,57,24629,5340,15,Southeast,21,24,90
C0254,Private,Master's degree,,58,940,23272,31,Southeast,19,23,99
C0255,Private,Doctoral degree,,75,2730,8815,22,Southeast,,,92
C0256,Private,Doctoral degree,,69,8351,31548,44,Southeast,23,28,100
C0257,Private,Bachelor's degree,,67,2170,23792,39,Southeast,18,23,94
C0258,Public,Doctoral degree,,,,,,Southeast,,,
C0259,Private,Master's degree,,56,1100,29150,55,Southeast,22,27,97
C0260,Private,Bachelor's degree,,44,924,12502,4,Southeast,14,18,99
C0261,Private,Doctoral degree,,61,2368,19000,40,Southeast,19,24,99
C0262,Private,Master's degree,,51,1309,17670,21,Southeast,18,25,92
C0263,Public,Master's degree,,83,4772,6032,8,Southeast,16,19,99
C0264,Private,Master's degree,,68,1629,17870,33,Southeast,18,23,99
C0265,Private,Bachelor's degree,,38,2129,23254,60,Southeast,20,24,90
C0266,Public,Master's degree,,78,6549,5500,10,Southeast,22,26,91
C0267,Private,Master's degree,,69,1090,13320,14,Southeast,,,56
C0268,Private,Bachelor's degree,,49,870,16910,35,Southeast,17,23,100
C0269,Private,Bachelor's degree,,81,1606,15010,10,Southeast,17,22,100
C0270,Public,Doctoral degree,,55,11885,5697,16,Southeast,20,24,92
C0271,Private,Master's degree,,43,700,18500,58,Southeast,17,22,100
